t,pvgen,demand,import,export
1,0,182.72019508013,182.72019508013,0
2,0,179.90770481263,179.90770481263,0
3,0,177.526372305414,177.526372305414,0
4,0,175.588699869617,175.588699869617,0
5,0,174.086983389305,174.086983389305,0
6,0,172.955981742751,172.955981742751,0
7,0,172.356960388108,172.356960388108,0
8,0,172.233583553297,172.233583553297,0
9,0,173.15994278102,173.15994278102,0
10,0,175.837148566057,175.837148566057,0
11,0,180.879621508693,180.879621508693,0
12,0,187.259193611307,187.259193611307,0
13,0,193.208056141643,193.208056141643,0
14,0,200.201278500344,200.201278500344,0
15,5.640124,209.667439400173,204.027315400173,0
16,11.593813,219.551384759225,207.957571759225,0
17,43.0899,226.12822495922,183.03832495922,0
18,109.379564,229.888928056678,120.509364056678,0
19,181.991103,232.329874735757,50.338771735757,0
20,312.871111,234.487667240844,0,78.3834437591559
21,749.652995,235.445338971956,0,514.207656028044
22,865.686206,235.172874362724,0,630.513331637276
23,1145.001816,233.17143971329,0,911.83037628671
24,1344.54649,231.651120173227,0,1112.89536982677
25,1375.490298,231.906388291682,0,1143.58390970832
26,1649.807075,233.715493898027,0,1416.09158110197
27,1390.717419,234.622098481177,0,1156.09532051882
28,1569.54455,234.760179701727,0,1334.78437029827
29,970.497836,234.389092838226,0,736.108743161774
30,1196.064359,234.440328253263,0,961.624030746736
31,1337.387093,234.453613713967,0,1102.93347928603
32,1258.75106,234.080315564982,0,1024.67074443502
33,719.880504,232.933029529558,0,486.947474470442
34,579.423614,230.463984046051,0,348.959629953949
35,440.299881,226.374302415359,0,213.925578584641
36,261.834867,223.864015997018,0,37.9708510029821
37,103.017229,224.437695071961,121.420466071961,0
38,17.652698,225.13745965479,207.48476165479,0
39,0,224.451693365016,224.451693365016,0
40,0,223.059929870937,223.059929870937,0
41,0,221.661003456366,221.661003456366,0
42,0,219.395179444753,219.395179444753,0
43,0,215.172618719559,215.172618719559,0
44,0,210.089521746484,210.089521746484,0
45,0,205.260517942856,205.260517942856,0
46,0,200.262097275759,200.262097275759,0
47,0,194.793133569148,194.793133569148,0
48,0,189.570803341391,189.570803341391,0
